"partition","site","year","survey_count"
"forest","35l45reua3h6",2002,74
"forest","35l45reua3h6",2013,600
"forest","35l45reua3h6",2003,343
"forest","u5aqq75407q1",1991,150
"forest","u5aqq75407q1",2015,0
"forest","u5aqq75407q1",1981,170
"forest","u5aqq75407q1",2002,143
"forest","u5aqq75407q1",2003,36
"forest","3vo02p9y9ffo",1991,20
"forest","j102tfx4c9mo",1991,30
"forest","r648fq8q089n",1976,100
"forest","r648fq8q089n",2015,1632
"forest","r648fq8q089n",1981,1010
"forest","r648fq8q089n",1991,900
"forest","r648fq8q089n",1998,150
"forest","r648fq8q089n",2003,788
"forest","r648fq8q089n",2002,1232
"forest","r648fq8q089n",2013,1291
"forest","ca91g2y2wwk6",1991,40
"forest","53qv184358za",1976,500
"forest","53qv184358za",2003,56
"forest","53qv184358za",1991,350
"forest","53qv184358za",2012,29
"forest","53qv184358za",2015,462
"forest","53qv184358za",1981,860
"forest","53qv184358za",1998,250
"forest","53qv184358za",2002,156
"forest","5kc5x457o117",1992,1269
"forest","5kc5x457o117",2015,3868
"forest","5kc5x457o117",2013,2111
"forest","5kc5x457o117",1981,1390
"forest","5kc5x457o117",1998,1614
"forest","5kc5x457o117",2003,2119
"forest","5kc5x457o117",2000,1381
"forest","wc6we80j6544",1998,419
"forest","wc6we80j6544",1992,70
"forest","wc6we80j6544",2000,355
"forest","wc6we80j6544",2013,891
"forest","wc6we80j6544",2003,422
"forest","wc6we80j6544",2015,985
"forest","8es4645kr4gr",2007,18
"forest","8es4645kr4gr",1998,50
"forest","em60bf5343m5",2005,3
"forest","zls7397e8m8o",1998,26
"forest","16r4i43f662z",2015,87
"forest","3339g0472107",2013,1
"forest","3339g0472107",2005,46
"forest","2z5klzwk3k99",1974,100
"forest","2z5klzwk3k99",2002,541
"forest","2z5klzwk3k99",1992,275
"forest","2z5klzwk3k99",2013,5
"forest","2z5klzwk3k99",1998,280
"forest","18dppfz2i120",1993,405
"forest","18dppfz2i120",1998,489
"forest","18dppfz2i120",2000,350
"forest","18dppfz2i120",2012,893
"forest","18dppfz2i120",1987,396
"forest","18dppfz2i120",2003,548
"forest","u68u42np4465",2015,15
"forest","zcw4g21o36f9",2003,740
"forest","zcw4g21o36f9",1992,33
"forest","zcw4g21o36f9",1981,260
"forest","zcw4g21o36f9",1998,100
"forest","zcw4g21o36f9",2013,2161
"forest","zcw4g21o36f9",2002,237
"forest","zcw4g21o36f9",2015,1099
"forest","xgub5puczime",2013,0
"forest","xgub5puczime",1998,150
"forest","0537rny37gz6",1996,1600
"forest","0537rny37gz6",1989,2640
"forest","0556un4m3g49",2012,10
"forest","0556un4m3g49",2015,50
"forest","22g8th7d50e8",1986,3400
"forest","22g8th7d50e8",2002,2977
"forest","22g8th7d50e8",1993,1750
"forest","22g8th7d50e8",1998,3000
